oem-004	Oem	Boolean	Do OEM partners have support obligations?
attr-001	Attribution	Boolean	Is attribution of the original authors required?
attr-002	Attribution	Text	What format must the attribution take?
attr-003	Attribution	MultiChoice	Where must attribution appear?
attr-004	Attribution	Choice	Can attribution notices be modified by downstream users?
noti-001	Notice	Boolean	Are license notices required beyond attribution?
noti-002	Notice	MultiChoice	Where must license notices be placed?
noti-003	Notice	Text	What content must the license notice contain?
noti-004	Notice	Boolean	Can license notices be removed by downstream users?
war-001	Warranty	Choice	Is warranty provided with the software?
war-002	Warranty	Choice	What is the warranty duration?
war-003	Warranty	MultiChoice	What does the warranty cover?
war-004	Warranty	Boolean	Is an express warranty disclaimer included?
liab-001	Liability	Boolean	Is liability limitation included in the license?
liab-002	Liability	Choice	What is the maximum liability amount?
liab-003	Liability	MultiChoice	What types of liability are excluded?
liab-004	Liability	Boolean	Is indemnification required from the licensor?
term-001	Termination	MultiChoice	Under what conditions does the license terminate?
term-002	Termination	Boolean	Is there a cure period for license violations?
term-003	Termination	Choice	What is the cure period duration?
term-004	Termination	MultiChoice	What post-termination obligations exist?
rev-001	Revocation	Choice	Can the license be revoked by the licensor?
rev-002	Revocation	Text	What notice is required for license revocation?
rev-003	Revocation	Choice	When does revocation take effect?
rev-004	Revocation	Boolean	Is there an appeal process for revocation?
exp-001	Expiration	Boolean	Does the license have a fixed expiration date?
exp-002	Expiration	Choice	What is the license duration?
exp-003	Expiration	Text	What are the renewal requirements?
exp-004	Expiration	Boolean	Must expiration be notified to licensees?
jur-001	Jurisdiction	Choice	Which jurisdiction governs this license?
jur-002	Jurisdiction	Choice	What dispute resolution method applies?
jur-003	Jurisdiction	Boolean	Is arbitration mandatory for disputes?
jur-004	Jurisdiction	Text	What is the governing law selection?
ec-001	ExportControl	Boolean	Are there export restrictions on this software?
ec-002	ExportControl	Choice	What is the export control classification?
ec-003	ExportControl	Text	Which countries are subject to export restrictions?
ec-004	ExportControl	MultiChoice	What export compliance requirements apply?
crypt-001	Cryptography	Boolean	Does the software use cryptographic algorithms?
crypt-002	Cryptography	MultiChoice	Are there restrictions on which cryptographic algorithms can be used?
crypt-003	Cryptography	Boolean	Are export restrictions applicable due to cryptographic usage?
crypt-004	Cryptography	Choice	What cryptographic usage license applies?
wm-001	Watermarking	Boolean	Is watermarking of outputs required?
wm-002	Watermarking	Boolean	Is watermark removal prohibited?
wm-003	Watermarking	Choice	What watermarking standards should be used?
wm-004	Watermarking	Boolean	Is watermark detection required?
drm-001	Drm	Boolean	Can DRM be applied to the software?
drm-002	Drm	Boolean	Is DRM circumvention prohibited?
drm-003	Drm	MultiChoice	Are there DRM technology restrictions?
drm-004	Drm	Choice	What are the user rights regarding DRM?
dw-001	DerivativeWorks	Boolean	Are derivative works of the software allowed?
dw-002	DerivativeWorks	Choice	What license must derivative works use?
dw-003	DerivativeWorks	Boolean	Is attribution required for derivative works?
dw-004	DerivativeWorks	Text	What constitutes a 'substantial modification' for derivative work classification?
fork-001	Forks	Boolean	Is forking of the software permitted?
fork-002	Forks	Choice	Are there naming requirements for forks?
fork-003	Forks	Boolean	Must fork creators notify the original project?
fork-004	Forks	Boolean	Should forks contribute improvements back to the original project?
contrib-001	Contributions	Boolean	Are external contributions to the software accepted?
contrib-002	Contributions	Choice	What licensing terms apply to contributions?
contrib-003	Contributions	Text	What is the contribution review process?
contrib-004	Contributions	Boolean	Do contributors retain rights to their contributions?
pr-001	PullRequests	Boolean	Are pull requests accepted as a contribution method?
pr-002	PullRequests	MultiChoice	What review requirements apply to pull requests?
pr-003	PullRequests	MultiChoice	What are the merge criteria for pull requests?
pr-004	PullRequests	Choice	Who owns the code in merged pull requests?
cla-001	ContributorLicenseAgreement	Boolean	Is a Contributor License Agreement (CLA) required?
cla-002	ContributorLicenseAgreement	Text	What are the CLA terms?
cla-003	ContributorLicenseAgreement	Boolean	Must the CLA be signed before a contribution is accepted?
cla-004	ContributorLicenseAgreement	Boolean	Does the CLA cover patent rights?
dual-001	DualLicensing	Boolean	Is dual licensing offered for this software?
dual-002	DualLicensing	Text	What is the second license option?
dual-003	DualLicensing	MultiChoice	Under what conditions can users choose between the two licenses?
dual-004	DualLicensing	Text	How can users switch between the two licenses?
roy-001	Royalty	Choice	Are royalties required for use of this software?
roy-002	Royalty	Number	What is the royalty rate?
roy-003	Royalty	Choice	What is the royalty payment schedule?
roy-004	Royalty	Text	What royalty reporting requirements apply?
sub-001	Subscription	Boolean	Is this a subscription-based license?
sub-002	Subscription	Choice	What is the subscription period?
sub-003	Subscription	Text	What are the subscription renewal terms?
sub-004	Subscription	Text	What is the subscription cancellation policy?
seat-001	PerSeat	Boolean	Is per-seat licensing used for this software?
seat-002	PerSeat	Number	What is the maximum number of seats?
seat-003	PerSeat	Boolean	Is seat sharing allowed between users?
seat-004	PerSeat	Boolean	Are seat audits required?
user-001	PerUser	Boolean	Is per-user licensing used for this software?
user-002	PerUser	Number	What is the maximum number of users?
user-003	PerUser	MultiChoice	Are there user type restrictions?
user-004	PerUser	Text	What user authentication requirements apply?
dev-001	PerDevice	Boolean	Is per-device licensing used for this software?
dev-002	PerDevice	Number	What is the maximum number of devices?
dev-003	PerDevice	MultiChoice	Are there device type restrictions?
dev-004	PerDevice	Boolean	Is device migration allowed?
cpu-001	PerCpu	Boolean	Is per-CPU licensing used for this software?
cpu-002	PerCpu	Choice	How are CPU cores counted for licensing purposes?
cpu-003	PerCpu	Choice	How are virtual CPUs handled for licensing?
cpu-004	PerCpu	Choice	Are there multi-processor licensing considerations?
comp-001	PerCompany	Boolean	Is per-company licensing used for this software?
comp-002	PerCompany	Choice	Does per-company licensing cover subsidiaries?
comp-003	PerCompany	Number	Is there a company size restriction for licensing?
comp-004	PerCompany	Text	What happens to the license during company mergers or acquisitions?
oc-001	OpenCore	Boolean	Does this project use an open-core licensing model?
oc-002	OpenCore	Text	What is the split between core and premium features?
oc-003	OpenCore	Choice	What license applies to the open-source core?
oc-004	OpenCore	Text	What is the premium feature license?
ef-001	EnterpriseFeatures	Boolean	Are enterprise-specific features included in the license?
ef-002	EnterpriseFeatures	MultiChoice	What enterprise features require a separate license?
ef-003	EnterpriseFeatures	Choice	What is the pricing model for enterprise features?
ef-004	EnterpriseFeatures	Boolean	Is enterprise support included with enterprise features?
ff-001	FeatureFlags	Boolean	Are feature flags used for licensing control?
ff-002	FeatureFlags	Choice	How are feature flags enforced?
ff-003	FeatureFlags	Boolean	Is bypassing feature flags prohibited?
ff-004	FeatureFlags	Boolean	Is an audit trail maintained for feature flag changes?
telem-001	Telemetry	Boolean	Is telemetry collection included in the software?
telem-002	Telemetry	Boolean	Is telemetry opt-out allowed?
telem-003	Telemetry	MultiChoice	How is telemetry data used?
telem-004	Telemetry	Boolean	Is telemetry data shared with third parties?
privy-001	Privacy	Boolean	Does the license include privacy provisions?
privy-002	Privacy	MultiChoice	Which privacy regulations must be complied with?
privy-003	Privacy	Text	What data processing terms apply?
privy-004	Privacy	Boolean	Are privacy audit requirements included?
child-001	Children	Boolean	Is use of this software by children permitted?
child-002	Children	Number	What is the minimum age requirement for using this software?
child-003	Children	Boolean	Is parental consent required for children's use?
child-004	Children	Boolean	Is COPPA compliance required for use in the United States?
hc-001	Healthcare	Choice	Is use of this software in healthcare applications permitted?
hc-002	Healthcare	Boolean	Is HIPAA compliance required for healthcare use?
hc-003	Healthcare	Choice	What medical device classification applies?
hc-004	Healthcare	MultiChoice	What healthcare data handling requirements apply?
fin-001	Finance	Choice	Is use of this software in financial applications permitted?
fin-002	Finance	MultiChoice	What financial regulation compliance is required?
fin-003	Finance	Boolean	Is a fiduciary responsibility disclaimer included?
fin-004	Finance	Text	What financial data handling requirements apply?
govu-001	GovernmentUse	Boolean	Is specific government use beyond general government agency use addressed?
govu-002	GovernmentUse	MultiChoice	Are there government agency restrictions?
govu-003	GovernmentUse	Text	What government reporting requirements apply?
govu-004	GovernmentUse	Boolean	Are government audit rights included?
def-001	Defense	Choice	Is use in defense applications permitted?
def-002	Defense	Boolean	Is ITAR compliance required?
def-003	Defense	Choice	What classification level restrictions apply?
def-004	Defense	Text	What defense procurement terms apply?
bio-001	Biotechnology	Choice	Is use in biotechnology applications permitted?
bio-002	Biotechnology	Boolean	Is biosafety compliance required?
bio-003	Biotechnology	Boolean	Are there GMO restrictions?
bio-004	Biotechnology	Choice	What biotech data sharing requirements apply?
nuc-001	Nuclear	Choice	Is use in nuclear applications permitted?
nuc-002	Nuclear	Boolean	Is nuclear safety compliance required?
nuc-003	Nuclear	MultiChoice	What nuclear regulatory requirements apply?
nuc-004	Nuclear	Boolean	Is a nuclear liability disclaimer included?
robo-001	Robotics	Boolean	Is use in robotics applications permitted?
robo-002	Robotics	MultiChoice	Are there autonomous operation restrictions?
robo-003	Robotics	Boolean	Is safety certification required?
robo-004	Robotics	Text	What robotics liability terms apply?
iot-001	Iot	Boolean	Is use in IoT devices permitted?
iot-002	Iot	MultiChoice	Are there IoT device restrictions?
iot-003	Iot	Text	What IoT data collection terms apply?
iot-004	Iot	Boolean	Are firmware update requirements included?
emb-001	Embedded	Boolean	Is use in embedded systems permitted?
emb-002	Embedded	MultiChoice	Are there embedded system restrictions?
emb-003	Embedded	Text	What flash memory requirements apply?
emb-004	Embedded	MultiChoice	What embedded license compatibility requirements apply?
edu-001	Education	Boolean	Is use in educational settings permitted?
edu-002	Education	Choice	What educational institution licensing terms apply?
edu-003	Education	Text	What terms apply to student projects using the software?
edu-004	Education	Choice	Can educational content created with the software be licensed freely?
ri-001	ResearchInstitutions	Boolean	Are research institutions given special license terms?
ri-002	ResearchInstitutions	Choice	What are the publication requirements for research institutions?
ri-003	ResearchInstitutions	Choice	What research data sharing requirements apply?
ri-004	ResearchInstitutions	Text	What are the research collaboration terms?
np-001	Nonprofit	Boolean	Is use by nonprofit organizations permitted?
np-002	Nonprofit	Boolean	Is nonprofit status verification required?
np-003	Nonprofit	Choice	What nonprofit license terms should apply?
np-004	Nonprofit	Number	Are there revenue restrictions for nonprofit license eligibility?
fnd-001	Foundation	Boolean	Is the software managed by a foundation?
fnd-002	Foundation	Text	What foundation governance requirements apply?
fnd-003	Foundation	Text	What foundation reporting obligations exist?
fnd-004	Foundation	Text	What foundation trademark usage rules apply?
ce-001	CommercialExceptions	Boolean	Are there exceptions to commercial use restrictions?
ce-002	CommercialExceptions	MultiChoice	What exception categories exist?
ce-003	CommercialExceptions	Text	What is the exception approval process?
ce-004	CommercialExceptions	Choice	How long do commercial exceptions last?
sp-001	SpecialPermissions	Boolean	Are special permissions available for non-standard use cases?
sp-002	SpecialPermissions	Text	What is the special permission request process?
sp-003	SpecialPermissions	Text	What are the special permission approval criteria?
sp-004	SpecialPermissions	Text	What are the special permission revocation terms?
own-006	Ownership	Boolean	Is joint ownership documented in a written agreement?
attr-005	Attribution	Boolean	Is attribution required in binary distributions?
noti-005	Notice	Boolean	Are change notices required for modifications?
war-005	Warranty	Boolean	Is there a warranty for third-party components?
dw-005	DerivativeWorks	Choice	Are plugins and extensions considered derivative works?
ai-005	AiTraining	Boolean	Must AI training provenance be documented?
privy-005	Privacy	Text	What data breach notification requirements apply?
